Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable,Télétravail
M.,Erwan,Faure,BillU,Paris,Communication et Relations publiques,Communication interne,Chargé de communication,Gaelle,Colin,PA10218,,17/06/1993  ,0127364911  ,0707561174  ,Non
M.,Loic,Blanc,BillU,Paris,Communication et Relations publiques,Communication interne,Chargé en droit de la communication,Gaelle,Colin,PA88356,DELL,03/11/1982  ,0160352162,0747070420  ,Non
M.,Corentin,Arnaud,BillU,Paris,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,PA11094,DELL,01/01/1991  ,0148522008,0710630503  ,Non
M.,Diego,Aubert,BillU,Paris,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,PA19149,DELL,14/05/1989  ,0198004015  ,0736672209  ,Non
M.,Mathias,Muller,BillU,Paris,Communication et Relations publiques,Gestion des marques,Community manager,Loic,Blanc,PA63498,DELL,08/12/2000  ,0112691924  ,0695993512  ,Non
Mme,Laurence,Guerin,BillU,Paris,Communication et Relations publiques,Gestion des marques,Designer graphique,Loic,Blanc,PA63117,DELL,20/07/1990  ,0114806301  ,0642681764  ,Non
M.,Lukas,Rousseau,BillU,Paris,Communication et Relations publiques,Gestion des marques,photographe,Loic,Blanc,PA74987,DELL,19/04/1993  ,0199526389  ,0742450021  ,Non
M.,Gaetan,Roussel,BillU,Paris,Communication et Relations publiques,Gestion des marques,Webmaster,Loic,Blanc,PA74884,DELL,27/10/1994  ,0181708327  ,0622836246  ,Non
Mme,Ines,Henry,BillU,Paris,Communication et Relations publiques,Gestion des marques,Webmaster,Loic,Blanc,PA39469,DELL,05/01/2000  ,0138585445  ,0685150170  ,Non
Mme,Régina,Illaconnesé,BillU,Paris,Communication et Relations publiques,Relation Médias,Chargée relation presse,Aurelien,Brunet,PA99009,DELL,16/11/1994  ,0155106945  ,0643567057  ,Non
Mme,Sophia,Kusmérowic,BillU,Paris,Communication et Relations publiques,Relation Médias,Chargée relation presse,Aurelien,Brunet,PA76764,DELL,10/08/1988  ,0134259365  ,0732836175  ,Non
M.,Damien,Calouhouet,I-magyne,Paris,Communication et Relations publiques,Relation Médias,Monteur,Aurelien,Brunet,-,-,-,-,0612558490,-
M.,Felix,Jean,Studio Dlight,Nantes,Communication et Relations publiques,Relation Médias,Monteur,Aurelien,Brunet,-,-,-,-,0684213048,-
M.,Alban,Dumas,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA78671,HP,02/12/1987  ,0197796902  ,0615034263  ,Non
Mme,Felianne,Fernandez,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA92969,DELL,17/11/1992  ,0122223912  ,0655605121  ,Non
Mme,Noémie,Leloir,BillU,Paris,Communication et Relations publiques,,Directrice Communication et Relations publiques,Camille,Martin,PA68385,DELL,14/11/1994  ,0165300831  ,0628752957  ,Non
M.,Loic,Blanc,BillU,Paris,Communication et Relations publiques,,Responsable marques,Noémie,Leloir,,,,,,
Mme,Gaelle,Colin,BillU,Paris,Communication et Relations publiques,,Responsable communication,Noémie,Leloir,PA23669,DELL,23/06/1999  ,0146389837  ,0625101497  ,Non
M.,Aurelien,Brunet,BillU,Paris,Communication et Relations publiques,,Responsable relation média,Noémie,Leloir,PA68867,DELL,12/03/1985  ,0114409115  ,0778858220  ,Non
M.,Aarav,Gupta,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA24630,HP,30/06/1994  ,-,-,Non
M.,Adam,Thomas,BillU,Paris,Développement logiciel,analyse et conception,Développeur,Wilfried,José,PA43813,TOSHIBA,03/03/1993  ,-,-,Non
Mme,Amélie,Blanchet,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA21577,TOSHIBA,08/08/2001,-,-,Non
Mme,Amélie,Fournier,BillU,Paris,Développement logiciel,Développement,Développeur,Florian,Rellay,PA60728,DELL,22/07/1987  ,-,-,Non
